x-coordinate,y-coordinate,Similarity_score
../datasets/JSON/199908057343.json,../datasets/JSON/199707017246.json,0.987596938105221
../datasets/JSON/199908057343.json,../datasets/JSON/199807087251.json,0.9743032240566939
../datasets/JSON/199908057343.json,../datasets/JSON/199412127465.json,0.9830477604863629
../datasets/JSON/199908057343.json,../datasets/JSON/199206156971.json,0.9960550540963768
../datasets/JSON/199908057343.json,../datasets/JSON/199005196429.json,0.9774920645403724
../datasets/JSON/199908057343.json,../datasets/JSON/199106017126.json,0.9833965370018334
../datasets/JSON/199908057343.json,../datasets/JSON/199906257372.json,0.9698572899377439
../datasets/JSON/199908057343.json,../datasets/JSON/199006156315.json,0.9822168457624233
../datasets/JSON/199908057343.json,../datasets/JSON/199510090.json,0.9940960913449876
../datasets/JSON/199908057343.json,../datasets/JSON/199007016247.json,0.989144047718962
../datasets/JSON/199908057343.json,../datasets/JSON/199203017040.json,0.9932717460571643
../datasets/JSON/199908057343.json,../datasets/JSON/1995091352.json,0.9906074500321009
../datasets/JSON/199908057343.json,../datasets/JSON/199409154199.json,0.9987143309670666
../datasets/JSON/199908057343.json,../datasets/JSON/199805157190.json,0.9515797225293396
../datasets/JSON/199908057343.json,../datasets/JSON/199709157172.json,0.9969902113826331
../datasets/JSON/199908057343.json,../datasets/JSON/199910157245.json,0.9819930999311959
../datasets/JSON/199908057343.json,../datasets/JSON/19941115548.json,0.9786221051396302
../datasets/JSON/199908057343.json,../datasets/JSON/199408019.json,0.9608676499111471
../datasets/JSON/199908057343.json,../datasets/JSON/199909227312.json,0.971628360709175
../datasets/JSON/199908057343.json,../datasets/JSON/199112017672.json,0.9833945933830994
../datasets/JSON/199908057343.json,../datasets/JSON/19940512409.json,0.9725366081245014
../datasets/JSON/199908057343.json,../datasets/JSON/199611137185.json,0.9946094863887087
../datasets/JSON/199908057343.json,../datasets/JSON/199703157270.json,0.9721282783581618
../datasets/JSON/199908057343.json,../datasets/JSON/199008126222.json,0.9910208675720554
../datasets/JSON/199908057343.json,../datasets/JSON/199012126312.json,0.9873786661757598
../datasets/JSON/199908057343.json,../datasets/JSON/199808077235.json,0.9687686153843014
../datasets/JSON/199908057343.json,../datasets/JSON/199809107180.json,0.9949035502080152
../datasets/JSON/199908057343.json,../datasets/JSON/199807137260.json,0.9680134782506323
../datasets/JSON/199908057343.json,../datasets/JSON/199206156907.json,0.9599869843372834
